base_depth,open_lifts,open_trails,resort_name,snowfall_24h,total_lifts,total_trails
12.0,3.0,9.0,Great Divide,1.0,6.0,127.0
27.0,5.0,30.0,Lost Trail - Powder Mtn,5.0,5.0,69.0
23.5,3.0,20.0,Montana Snowbowl,0.0,5.0,37.0
8.0,4.0,8.0,Red Lodge Mountain,0.0,7.0,70.0
20.5,4.0,38.0,Showdown Montana,4.0,4.0,39.0
45.0,12.0,96.0,Whitefish Mountain Resort,5.0,14.0,111.0
8.0,6.0,12.0,Wisp,0.0,12.0,33.0
,2.0,6.0,Black Mountain of Maine,0.0,3.0,33.0
13.0,3.0,5.0,Camden Snow Bowl,0.0,3.0,20.0
,3.0,14.0,Lost Valley,0.0,4.0,31.0
9.0,3.0,9.0,Mt. Abram Ski Resort,0.0,5.0,54.0
12.0,5.0,26.0,Pleasant Mountain,5.0,6.0,43.0
28.0,6.0,37.0,Saddleback Inc.,0.0,6.0,68.0
15.0,12.0,51.0,Sugarloaf,0.0,15.0,170.0
26.0,10.0,74.0,Sunday River,0.0,19.0,139.0
4.0,2.0,15.0,Big Moose Mountain,0.0,2.0,29.0
,,,New Hermon Mountain,,,
15.0,2.0,5.0,Mt. Crescent Ski Area,0.0,2.0,11.0
15.0,4.0,11.0,Seven Oaks,0.0,4.0,11.0
11.0,4.0,21.0,Sundown Mountain,0.0,6.0,21.0
15.0,3.0,6.0,Paoli Peaks,0.0,8.0,15.0
23.5,6.0,20.0,Perfect North Slopes,0.0,12.0,23.0
30.0,5.0,18.0,Chestnut Mountain Resort,0.0,10.0,18.0
,,,Ski Snowstar Winter Sports Park,,,
,,,Villa Olivia,,,
58.0,9.0,91.0,Bogus Basin,7.0,10.0,91.0
66.5,6.0,69.0,Brundage Mountain Resort,0.0,6.0,70.0
15.0,3.0,,Kelly Canyon Ski Area,3.0,6.0,51.0
27.5,5.0,49.0,Lookout Pass Ski Area,8.0,5.0,54.0
,,,Magic Mountain Ski Area,0.0,,11.0
24.5,3.0,20.0,Pebble Creek Ski Area,11.0,3.0,54.0
35.0,3.0,32.0,Pomerelle Mountain Resort,22.0,3.0,32.0
62.0,10.0,92.0,Schweitzer,6.0,10.0,92.0
60.0,7.0,75.0,Silver Mountain,6.0,7.0,80.0
38.0,13.0,63.0,Sun Valley,4.0,17.0,120.0
58.0,7.0,52.0,Tamarack Resort,8.0,7.0,58.0
,,,Soldier Mountain Ski Area,,,
15.0,6.0,10.0,Mohawk Mountain,0.0,8.0,27.0
21.0,7.0,14.0,Mount Southington Ski Area,0.0,7.0,14.0
36.0,3.0,11.0,Powder Ridge Park,0.0,6.0,20.0
36.0,5.0,17.0,Ski Sundown,0.0,5.0,17.0
,,,Woodbury Ski Area,0.0,,12.0
38.0,7.0,63.0,Arapahoe Basin Ski Area,4.0,9.0,145.0
31.5,34.0,331.0,Aspen Snowmass,3.0,41.0,366.0
33.0,18.0,149.0,Beaver Creek,1.0,24.0,150.0
34.0,34.0,130.0,Breckenridge,0.0,35.0,189.0
26.0,4.0,43.0,Cooper,2.0,5.0,64.0
35.5,24.0,137.0,Copper Mountain,3.0,24.0,150.0
32.0,13.0,91.0,Crested Butte Mountain Resort,6.0,15.0,165.0
18.0,3.0,2.0,Echo Mountain,0.0,3.0,7.0
20.0,10.0,27.0,Eldora Mountain Resort,1.0,10.0,61.0
24.0,3.0,12.0,Howelsen Hill,0.0,4.0,17.0
37.0,21.0,82.0,Keystone,4.0,21.0,140.0
37.0,7.0,37.0,Loveland Ski Area,4.0,10.0,94.0
35.0,7.0,63.0,Monarch Mountain,4.0,7.0,67.0
35.0,5.0,23.0,Powderhorn,3.0,5.0,54.0
36.0,10.0,91.0,Purgatory,8.0,11.0,107.0
,,,Silverton Mountain,0.0,,69.0
